SC,AIF,Nl,RW,Economic_Impact,Environmental_Impact,Social_Impact,EQ0,EQ1,EQ2,EQ3,EQ4,F0,F1,F2,F3
1,31316.68854332478,25,1537.5541112324956,2646351.39166167,77546.08591680424,0.7404424629561082,1,0,1,1,1,0.8871834908748528,0.0,0.061966262717283394,0.05085024640786365
1,63264.92850568886,30,1599.507840914253,6180165.082952678,156656.01344265815,0.7292350358371951,1,1,1,1,0,0.9460546260475493,0.026629123699692125,0.0,0.027316250252758686
1,52279.436774483125,25,2610.9260679248446,4559705.152219415,129453.84344157728,0.9854827199562746,1,1,1,1,1,0.8459788404729427,0.15402115952705733,0.0,0.0
4,177687.39493030924,189,1599.507840914253,15064688.235519737,164995.43814957287,0.5633259449281042,1,1,0,1,0,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,41340.02333166732,27,2235.086431334714,3594804.4600135833,102365.77205936669,0.915598072022074,1,1,1,1,1,0.9136575643616655,0.05500760473659877,0.0,0.03133483090173581
1,53869.65350976258,25,2670.6233961607927,4575414.318612423,133391.52297655496,0.9965830041206383,1,1,1,1,1,0.8871834908748529,0.0,0.0619662627172834,0.050850246407863654
4,208096.446165732,175,2025.4062111004218,17527546.864149258,193232.4142967511,0.8766095595203462,1,1,1,1,1,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
1,34328.59105699565,25,2025.4062111004218,2991401.4088931046,85004.13023637017,0.8766095595203462,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
1,29335.799242828696,25,2687.6079000014083,2094735.0752820298,72641.0266965282,0.999741149126331,1,1,1,1,1,0.8864901363154347,0.0,0.06234709874135744,0.051162764943207796
1,31368.880931149644,25,1658.1228504033713,2814547.280747324,77675.3242104658,0.5537704343357972,1,1,1,0,0,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
4,232946.54864267173,179,2590.838649503251,19145298.827320725,216307.50945390947,0.9817476105435573,1,1,1,1,1,0.9387889745607735,0.05093455917336051,0.0,0.01027646626586591
1,31994.30329641232,28,1915.7125930882764,2764272.0644209497,79223.98911492576,0.810758283308615,1,0,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
4,178786.11686422164,186,2317.177833345375,13467822.645533755,166015.67994534865,0.9308623713918511,1,1,1,1,1,0.9269986652241835,0.05581081814129401,0.01719051663452244,0.0
4,222002.49368238403,175,2155.6941061611747,18735178.8123046,206145.17270507087,0.9008356463668976,1,1,1,1,1,0.9271193640434026,0.055013909544057014,0.017866726412540425,0.0
1,54048.79027184064,30,2679.4945486288257,4373656.923940528,133835.09972074826,0.9982325304255906,1,1,1,1,1,0.7871711245705957,0.2042120960185701,0.0,0.008616779410834236
1,31316.68854332478,25,2687.6079000014083,2296335.255031001,77546.08591680424,0.999741149126331,1,1,1,1,1,0.8871834908748529,0.0,0.0619662627172834,0.050850246407863654
4,209259.8856783907,185,2025.4062111004218,17752696.932114765,194312.75098707707,0.8766095595203462,1,1,1,1,1,0.9715868050586381,0.0,0.02841319494136181,0.0
1,34401.40112785685,25,2025.4062111004218,2999151.499566417,85184.42184040745,0.8766095595203462,1,1,1,1,1,0.9259540450786549,0.055893549948879864,0.01815240497246535,0.0
